id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4720866418493363,L8KPvzDvJ,2726206523,钮钴禄甄氏,元旦第一天世纪公园👪👨‍👩‍👧撒欢，野餐太喜欢这个恐龙外套了，全场焦点啊📸📸有个会拍照的妈妈就是好，直接用现成的照片就好了,,上海·世纪公园,,,0,0,0,2022-01-01 16:28,华为Mate40保时捷设计,"['https://wx3.sinaimg.cn/large/a27e9c3bly1gxy3s0xc40j23402c0u0x.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s1vdgxj23402c04qq.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s31ugcj23402c01kz.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s456fij23402c0kjm.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s4yz9sj23402c0x6p.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s6aj5yj23402c04qu.jpg', 'https://wx1.sinaimg.cn/large/a27e9c3bly1gxy3s8lt92j235s2dcnpi.jpg', 'https://wx2.sinaimg.cn/large/a27e9c3bly1gxy937wicpj23402c01l2.jpg', 'https://wx4.sinaimg.cn/large/a27e9c3bly1gxy94mla25j22c03407wi.jpg']",,
4720843642372220,L8KeM9X7C,3506758563,青岛交通运输,#行业动态#【元旦小长假温馨巴士多措并举保障市民出行】元旦假期已至，不少人都趁小长假购物、逛街、出游，公交客流明显上升。为方便市民乘公交出行，城运控股交运温馨巴士公司做足准备，与火车站、长途站、地铁站等交通枢纽实时对接，科学安排运力，实时调度，保障市民出行便利。据了解，温馨巴士根据乘客出行特点，提前关注客流情况，对客流较多的汽车站、火车站、商圈的线路，配备充足运力，随着地铁一号线的开通，节假日乘地铁的客流也比平时有所增加。针对这一情况，温馨巴士盛达分公司增加了途经水清沟，北岭车站的609路等多条公交线路运力。高新区分公司对途经铁路火车北站的773路、636路，汽车北站的642路、767路、766路等公交线路，根据实时客流情况，精准增加运力，缩短发车间隔，快速疏散抵青游客，防止滞留。对途经景区的世纪公园642路、毛公山景区634路、澜湾艺术公园的775路等公交线路重点投放运力，加密班次，全力满足游客和市民出行需求。,,,,行业动态,0,0,1,2022-01-01 14:58,微博 weibo.com,['https://wx2.sinaimg.cn/large/d104e3a3ly1gxy6igvsuzj21400u0gsj.jpg'],,
4720830024780443,L8JSOk3BV,2697927014,妮一口楽,我曾是世纪公园的鸽子王,,,,,0,2,10,2022-01-01 14:04,iPhone 12,['https://wx3.sinaimg.cn/large/a0cf1966ly1gxy4y8x1bej22bz1qze82.jpg'],,
4720814115522759,L8Jt9naIL,3772572170,从此懒得改昵称,#海南#之行Day1海口来自凌晨的逃离冷空气计划去体验海南生态人文美食强烈推荐老盐芭乐蒜香排骨四小时的单人骑行游览海口钟楼→骑楼老街→万绿园→世纪公园→世纪大桥→钟楼→白沙门公园→白沙门海滩凌晨赶到三亚结束坎坷2021,,三亚·三亚美高梅度假酒店,,海南,0,1,1,2022-01-01 13:00,iPhone 12 Pro Max,"['https://wx3.sinaimg.cn/large/e0dce20agy1gxy2kxxz4qj22bx2bs1ky.jpg', 'https://wx4.sinaimg.cn/large/e0dce20agy1gxy2kwu29hj223s2vjkjm.jpg', 'https://wx3.sinaimg.cn/large/e0dce20agy1gxy2kh6d4uj2317250e82.jpg', 'https://wx3.sinaimg.cn/large/e0dce20agy1gxy2kedwk8j21og2ip4qq.jpg', 'https://wx3.sinaimg.cn/large/e0dce20agy1gxy2kfqzy5j22ip2ip1kz.jpg', 'https://wx1.sinaimg.cn/large/e0dce20agy1gxy2kg9zkcj20zo0z8ncm.jpg', 'https://wx2.sinaimg.cn/large/e0dce20agy1gxy2kk21hcj23402c0hdx.jpg', 'https://wx4.sinaimg.cn/large/e0dce20agy1gxy2klxhxtj23402c04qq.jpg', 'https://wx2.sinaimg.cn/large/e0dce20agy1gxy2koy6afj23402c04qq.jpg']",,
4720802903098146,L8Jb4cZY6,1721863722,乐居网海口,#热门楼盘推荐#【海口海湾花园】价格：约18500元/㎡全部户型：一居室(43.3㎡)三居室(103.14~104.02㎡)楼盘概况：海湾花园是海口市水产供销总公司斥资打造的首个高端精品项目，项目位于龙华区新港片区，是龙华区政府着力打造的新区；项目经城市主干道滨海大道，于海口外滩核芯位置，坐拥城市湾区繁华配套资源，临近紫荆百货、生生国际、宜欣广场、友谊阳光城、宜欣广场，友谊商场、东方广场，万绿园，滨海公园、世纪公园，公交：项目附近...O网页链接,,,,热门楼盘推荐,0,0,0,2022-01-01 12:16,乐居网,"['https://wx2.sinaimg.cn/large/66a18e2aly8gxy1u2p2oaj20qq0k1jvz.jpg', 'https://wx3.sinaimg.cn/large/66a18e2aly8gxy1u37e7pj20qq0k1dkl.jpg', 'https://wx1.sinaimg.cn/large/66a18e2aly8gxy1u3p76zj20m80gowj0.jpg']",,
4720793307056021,L8IVAtBAN,1730097101,三亚乐居网,#热门楼盘推荐#【海口海湾花园】价格：约18500元/㎡全部户型：一居室(43.3㎡)三居室(103.14~104.02㎡)楼盘概况：海湾花园是海口市水产供销总公司斥资打造的首个高端精品项目，项目位于龙华区新港片区，是龙华区政府着力打造的新区；项目经城市主干道滨海大道，于海口外滩核芯位置，坐拥城市湾区繁华配套资源，临近紫荆百货、生生国际、宜欣广场、友谊阳光城、宜欣广场，友谊商场、东方广场，万绿园，滨海公园、世纪公园，公交：项目附近...O网页链接,,,,热门楼盘推荐,0,0,0,2022-01-01 11:38,乐居网,"['https://wx3.sinaimg.cn/large/671f2fcdly8gxy0qc8ouij20qq0k178v.jpg', 'https://wx3.sinaimg.cn/large/671f2fcdly8gxy0qe9j1xj20qq0k1jw5.jpg', 'https://wx4.sinaimg.cn/large/671f2fcdly8gxy0qfrrmzj20m80gotd8.jpg']",,
4720658959565848,L8FqTE8vS,5872944658,Archie-Ye,烟火向星辰，所愿皆成真Happynewyear🎆🎇地点：世纪公园摄影/后期：@Archie-Ye🧚‍♀️：@缪漂漂#温州约拍##杭州约拍#温州约拍杭州约拍#写真#,,温州·温州大学学生公寓E区,"Archie-Ye,缪漂漂","温州约拍,杭州约拍,写真",1,0,0,2022-01-01 02:44,iPhone客户端,"['https://wx2.sinaimg.cn/large/006pshbQgy1gxxlar5ngnj31c02dckii.jpg', 'https://wx1.sinaimg.cn/large/006pshbQgy1gxxlas4xjtj30zk251hbn.jpg', 'https://wx4.sinaimg.cn/large/006pshbQgy1gxxlaslyc7j311x1kwn1r.jpg', 'https://wx4.sinaimg.cn/large/006pshbQgy1gxxlatt59oj30zk2yokjl.jpg', 'https://wx4.sinaimg.cn/large/006pshbQgy1gxxlavceb3j30zk2yokjl.jpg', 'https://wx4.sinaimg.cn/large/006pshbQgy1gxxlaq8nvej30zk2yo4qp.jpg', 'https://wx2.sinaimg.cn/large/006pshbQgy1gxxlawcnwtj30zk2yoe7i.jpg', 'https://wx4.sinaimg.cn/large/006pshbQgy1gxxlaxhav2j30zk2514o5.jpg', 'https://wx2.sinaimg.cn/large/006pshbQgy1gxxlaz049oj30zk2yohdt.jpg']",,
4720646065753615,L8F66o8Mf,1646663171,NIUYIHUAN,去年跨年我在干嘛呢，今年跨年我在世纪公园哭抽抽，2021哭得最狠的两次，一次是金崽没了，一次是今天。我想不通。我走不出来了。,,,,,0,1,2,2022-01-01 01:53,iPhone客户端,['https://wx1.sinaimg.cn/large/62261603gy1gxxjsfms3sj21hc0u0k2r.jpg'],,
4720617666133711,L8EmipJEP,3226328455,helenzrt,2021✅见证了苏女士被求婚围观了苏女士试婚纱✅3月去了上海：和托妮娅女士看了展、观了剧、逛了公园✅7月和🍑女士去了北京：吃肥肠！玩泡泡龙～✅办公室搬了地点（没想到这个词条居然第三次出现在了年终总结中……）✅8月和家人去了青岛：哈啤酒吃蛤蜊✅国庆去逛了车展去大悦城对着“刘鸭社”拍拍拍✅12月初和李女士游海口看演唱会：时隔一年终于顺利“回家”🌺✅今年到过的城市：上海➕北京➕青岛➕海口✅遛公园*5：上海世纪公园、天津睦南道公园、北京景山公园、青岛小鱼山公园、海口世纪公园✅逛展*5：上海无界美术馆、天津美术馆「春风十里」美术展、天津科技馆、青岛啤酒博物馆、天津国家会展中心国际汽车展✅现场观演*8：《熵》《深渊》《献给阿尔吉侬的花束》《死亡陷阱》《伟大的探戈——大提琴与爵士乐音乐会》《水曜日》《也许美好结局》➕火星演唱会✅粗略统计看了18部电影今年还是被疫情持续影响的一年各种演出取消各种突然变化的风险区制定行程和预订演出时都是抱着说走就走珍惜当下的心态希望新的一年会好起来真的能做到“说走就走”「我们的世界一直会很美好其他不重要享受每分每秒」#Saygoodbyetomy2021##Hi2022#,,,,"Say goodbye to my 2021,Hi 2022",0,7,6,2022-01-01 00:00,iPhone 13 Pro Max,,,
4733300587368029,LdYiCuULb,7298717466,2022要更努力一点,还原看风景的感觉立春于世纪公园划船,,,,,0,0,2,2022-02-04 23:57,,"['https://wx4.sinaimg.cn/large/007XWFPsly1gz1x5klgwuj330q29k4qq.jpg', 'https://wx1.sinaimg.cn/large/007XWFPsly1gz1x5n9opoj330q29ke81.jpg']",,
4733283868609333,LdXREA7Gd,1215779457,joycenvghi,我喜欢🎇。小时候每年十一从窗口看世纪公园烟火，直到禁燃。,,,,,0,0,1,2022-02-04 22:51,iPhone客户端,,,
4733274306645484,LdXCerSNe,1007289011,拒绝大肚子蝈蝈,孤独的野猫、吃腊梅的蓝鸟、辛勤的蜜蜂，还有无聊的人。摄自世纪公园冬奥日午后。,,,,,0,0,3,2022-02-04 22:13,HUAWEI Mate 40 Pro+,"['https://wx1.sinaimg.cn/large/3c0a02b3ly1gz1u0datvrj235s1gwkjl.jpg', 'https://wx3.sinaimg.cn/large/3c0a02b3ly1gz1u0e35ctj235s1gwb2a.jpg', 'https://wx3.sinaimg.cn/large/3c0a02b3ly1gz1u0f36ybj21gw35snpd.jpg', 'https://wx4.sinaimg.cn/large/3c0a02b3ly1gz1u0fps4ij21gw35skjl.jpg', 'https://wx2.sinaimg.cn/large/3c0a02b3ly1gz1u0gcd8rj21gw35skjl.jpg', 'https://wx3.sinaimg.cn/large/3c0a02b3ly1gz1u0h2imcj21gw35su0x.jpg', 'https://wx2.sinaimg.cn/large/3c0a02b3ly1gz1u0hlc3bj21gw35s4qp.jpg', 'https://wx1.sinaimg.cn/large/3c0a02b3ly1gz1u0i3jz2j21gw35s4qp.jpg', 'https://wx3.sinaimg.cn/large/3c0a02b3ly1gz1u0indo6j21gw35s1kx.jpg']",,
4733271524771530,LdXxKk1ia,7208327504,山楂山楂不酸,上海浦东世纪公园,,,,,0,2,3,2022-02-04 22:02,iPad Pro,"['https://wx4.sinaimg.cn/large/007RPpgQly1gz1tqvamjhj32dc1s07wi.jpg', 'https://wx3.sinaimg.cn/large/007RPpgQly1gz1tr25wr4j32dc1s0hdu.jpg', 'https://wx2.sinaimg.cn/large/007RPpgQly1gz1tr9k6ivj31s02dckjm.jpg', 'https://wx1.sinaimg.cn/large/007RPpgQly1gz1trkvjf8j32dc1s0u0z.jpg', 'https://wx2.sinaimg.cn/large/007RPpgQly1gz1trsjh2uj31s02dchdu.jpg', 'https://wx3.sinaimg.cn/large/007RPpgQly1gz1trz87oqj31s02dcb2a.jpg', 'https://wx3.sinaimg.cn/large/007RPpgQly1gz1ts85gefj32dc1s07wj.jpg', 'https://wx4.sinaimg.cn/large/007RPpgQly1gz1tsglhcoj31s02dcx6q.jpg', 'https://wx2.sinaimg.cn/large/007RPpgQly1gz1tsr653mj31s02dcnpf.jpg']",,
4733257722101964,LdXbu8OOE,1673010662,MMM9SEPT,#虎虎生威庆新春#今日游世纪公园，人山人海，骑个🚲花了105元。纪念一下！,,,,虎虎生威庆新春,0,0,0,2022-02-04 21:07,Redmi K40,"['https://wx1.sinaimg.cn/large/63b81de6ly1gz1s5alz4kj20u01niqev.jpg', 'https://wx2.sinaimg.cn/large/63b81de6ly1gz1s5cb0ydj23342bcu0x.jpg', 'https://wx4.sinaimg.cn/large/63b81de6ly1gz1s7oyul6j213x0u0agf.jpg', 'https://wx1.sinaimg.cn/large/63b81de6ly1gz1s5d5na4j23342bc7wi.jpg']",,
4733251291711923,LdX177blF,1267205562,cherry_cho,大年初四，立春了，阳光明媚，我们去世纪公园踏春没想到的是，整整呆了5小时宝宝午饭和午觉都省略了…但我想，他应该还是快乐的当当呢，也算是吃上了他心心念念的泡面很不讲究，但依然是很美好的一天呀#今天立春#,,,,今天立春,0,1,0,2022-02-04 20:41,iPhone客户端,"['https://wx2.sinaimg.cn/large/4b8805baly1gz1r7v732ej22802yo4qq.jpg', 'https://wx2.sinaimg.cn/large/4b8805baly1gz1r7thp9tj22802yo1ky.jpg', 'https://wx4.sinaimg.cn/large/4b8805baly1gz1r7wsitaj22802yonpe.jpg', 'https://wx2.sinaimg.cn/large/4b8805baly1gz1r7yctfvj22802yo7wi.jpg', 'https://wx1.sinaimg.cn/large/4b8805baly1gz1r80ekahj22802yoqv6.jpg', 'https://wx1.sinaimg.cn/large/4b8805baly1gz1rctawg1j213u0tu1co.jpg']",,
4733250360313848,LdWZC1jE4,1618143921,dongdonglv,#共青吹春节游共青#本来主要目的是去赏腊梅的，虽然知道世纪公园最好，但世纪公园是真的怕人多。想着共青总该有些腊梅吧，没想到只有很小一片，而且居然都还没怎么开。大家只能对着仅有的几株开了一些的黄腊梅拍拍，白的开了一点点，红的就完全只有花苞了。,,,,共青吹春节游共青,0,3,2,2022-02-04 20:38,iPhone客户端,"['https://wx1.sinaimg.cn/large/6072eab1ly1gz1r9bio2tj213u0tuh5p.jpg', 'https://wx1.sinaimg.cn/large/6072eab1ly1gz1r9cdurrj22c0340hdt.jpg', 'https://wx1.sinaimg.cn/large/6072eab1ly1gz1r99zid4j22c0340u0x.jpg', 'https://wx4.sinaimg.cn/large/6072eab1ly1gz1r9eiws9j22c03401ky.jpg']",,
4733249282900726,LdWXScaBU,2318144931,barbarayaya,墙角数枝梅，凌寒独自开，遥知不是雪，为有暗香来。~世纪公园赏梅。,,,,,0,0,1,2022-02-04 20:33,nova9Pro精彩由我摄定,"['https://wx4.sinaimg.cn/large/8a2c15a3ly1gz1r6heleqj22dc35s4qs.jpg', 'https://wx1.sinaimg.cn/large/8a2c15a3ly1gz1r6jyd7fj22dc35s4qq.jpg', 'https://wx2.sinaimg.cn/large/8a2c15a3ly1gz1r7nezy4j22dc35snpe.jpg', 'https://wx2.sinaimg.cn/large/8a2c15a3ly1gz1r7p3j4jj22dc35sx6p.jpg', 'https://wx2.sinaimg.cn/large/8a2c15a3ly1gz1r7quxpbj22dc35sb2a.jpg', 'https://wx1.sinaimg.cn/large/8a2c15a3ly1gz1r7snbdqj22dc35sx6p.jpg', 'https://wx1.sinaimg.cn/large/8a2c15a3ly1gz1r7vgqe3j22dc35shdx.jpg', 'https://wx1.sinaimg.cn/large/8a2c15a3ly1gz1r7wvt25j22dc35s1ky.jpg', 'https://wx4.sinaimg.cn/large/8a2c15a3ly1gz1ra1fezjj22dc35snpd.jpg']",,
4733236784398736,LdWDIisjm,1572213382,云淡风轻地微蓝,#超能新星汇##新春打卡圣地##足不出沪过春节#借得满屏梅，且报江南春。（立春。春节长假里难得的晴天。不用买票的世纪公园永远是遛娃打卡的天堂，尤其在有梅花的日子）。,,,,"超能新星汇,新春打卡圣地,足不出沪过春节",1,0,5,2022-02-04 19:44,小米11 Ultra,"['https://wx1.sinaimg.cn/large/5db61286ly1gz1pu42aa3j22yy1z5kjm.jpg', 'https://wx3.sinaimg.cn/large/5db61286ly1gz1ptw1bfzj21ug2saqv5.jpg', 'https://wx4.sinaimg.cn/large/5db61286ly1gz1ptzexxkj21z02zbkjm.jpg', 'https://wx3.sinaimg.cn/large/5db61286ly1gz1pu2c76sj21y22ywb2a.jpg', 'https://wx4.sinaimg.cn/large/5db61286ly1gz1ptuwndaj223u35snpd.jpg', 'https://wx3.sinaimg.cn/large/5db61286ly1gz1pu6xmcyj235s23uhdu.jpg', 'https://wx2.sinaimg.cn/large/5db61286ly1gz1ptxjdo8j22vz1uwx6p.jpg', 'https://wx4.sinaimg.cn/large/5db61286ly1gz1pu0xxr4j235s23u4qq.jpg', 'https://wx2.sinaimg.cn/large/5db61286ly1gz1pu5ikpfj22tq1uc7wi.jpg']",,
4733235919852394,LdWCjFl3A,7732875292,小棉袄-轩轩,下午，世纪公园走一圈，带着快要瞌睡的小朋友和小豆豆,,,,,0,2,2,2022-02-04 19:40,HUAWEI Mate 40 Pro,"['https://wx4.sinaimg.cn/large/008rkm72ly1gz1pqmhapyj32tc2401ky.jpg', 'https://wx3.sinaimg.cn/large/008rkm72ly1gz1pqlb6rnj32tc240qv5.jpg', 'https://wx1.sinaimg.cn/large/008rkm72ly1gz1pqj52dtj32tc240kjl.jpg', 'https://wx2.sinaimg.cn/large/008rkm72ly1gz1pqhyqyqj32402tcu0y.jpg']",,
4733235289918519,LdWBiFCg7,7322363194,理科小公主不是梦,大概是今天第一波照片世纪公园人好多但是超开心因为阳光真的太暖和了和多弟一起踢足球感觉自己年轻了哈哈哈哈,,,,,0,3,7,2022-02-04 19:38,HUAWEI P30,"['https://wx2.sinaimg.cn/large/007ZxTaaly1gz1o754lwmj32402tckjl.jpg', 'https://wx2.sinaimg.cn/large/007ZxTaaly1gz1o7eqbolj33402c0u0y.jpg', 'https://wx2.sinaimg.cn/large/007ZxTaaly1gz1o7pfe6jj32tc240kjl.jpg', 'https://wx3.sinaimg.cn/large/007ZxTaaly1gz1o7rsfkwj32tc240npd.jpg', 'https://wx2.sinaimg.cn/large/007ZxTaaly1gz1o7w1hn0j32tc240qv5.jpg', 'https://wx2.sinaimg.cn/large/007ZxTaaly1gz1o7wf93rj30qo0k0wg4.jpg']",,
4733233743527971,LdWyOeNML,2215579915,戆小乐,#D750随手拍#立春，世纪公园～梅园,,,,D750随手拍,0,0,0,2022-02-04 19:32,Android,"['https://wx2.sinaimg.cn/large/840f110bgy1gz1pg5f3brj21e50xfk34.jpg', 'https://wx4.sinaimg.cn/large/840f110bgy1gz1pg64rqpj21e50xf4af.jpg', 'https://wx4.sinaimg.cn/large/840f110bgy1gz1pg6wgj0j21e50xfwmy.jpg', 'https://wx4.sinaimg.cn/large/840f110bgy1gz1pg7piokj20xf1e57ds.jpg', 'https://wx3.sinaimg.cn/large/840f110bgy1gz1pgh2siuj21900u0tou.jpg', 'https://wx3.sinaimg.cn/large/840f110bgy1gz1pg8demfj21e50xfn5x.jpg', 'https://wx3.sinaimg.cn/large/840f110bgy1gz1pgd09vij21e50xf7d6.jpg', 'https://wx2.sinaimg.cn/large/840f110bgy1gz1pg901izj20xf1e5qcx.jpg', 'https://wx4.sinaimg.cn/large/840f110bgy1gz1pgdjabwj21e50xfti6.jpg']",,
4733233113077277,LdWxNcUxv,2219619883,Monsieur江,在世纪公园门口买了一串冰糖草莓，15块，一口咬下去是五百年的草莓裹了八百年的糖浆，现在草莓有这么贵吗,,,,,0,0,0,2022-02-04 19:29,iPhone客户端,,,
